Seed, Checksum, Floor 6 Code
4705990, 01786E98, 456
20646763, D173D7E3, 587
21579776, 7B60446E, 854
32632976, 889C3288, 858
43571562, 365560A5, 896
45873081, F1090B15, 785
47564338, CBD00690, 854
49162648, 018B4589, 858
53556571, 2255D591, 545
63271894, 3DA555C5, 676
67030930, 55685F80, 498
67587153, BEBDD14D, 589
68428726, 1AD79E49, 474
71305162, 7F9D0ED9, 696
72512117, 877D34F9, 585
74615614, 435DC381, 874
77049742, 40CA4198, 656
78153090, FCAF9549, 656
81435301, 8B6362C7, 589
87197064, 34DC9294, 494
88000112, 2E6B524F, 858
91121013, E8ED9FD1, 947
91409273, 004D8C49, 969
91411364, F0FF3B59, 674
98925775, DA75E941, 985
99930706, 47F58469, 878
